,Year_Rank,Title,Worldwide_Gross,Domestic,Percent_Domestic,Foreign,Percent_Foreign,Year,Domestic Distributor,Domestic Opening,Earliest Release Date,MPAA,Running Time,Genres,"
                        IMDbPro
                    ",Budget
0,1,Avengers: Infinity War,"$2,048,359,754","$678,815,482",33.1%,"$1,369,544,272",66.9%,2018,Walt Disney Studios,"$257,698,183","April 25, 2018
            (APAC, EMEA)",PG-13,2 hr 29 min,"Action
    
        Adventure
    
        Sci-Fi","See more details at IMDbPro

",
1,2,Black Panther,"$1,346,913,161","$700,059,566",52%,"$646,853,595",48%,2018,Walt Disney Studios,"$202,003,951","February 13, 2018
            (EMEA, APAC)",PG-13,2 hr 14 min,"Action
    
        Adventure
    
        Sci-Fi","See more details at IMDbPro

",
2,3,Jurassic World: Fallen Kingdom,"$1,308,467,944","$417,719,760",31.9%,"$890,748,184",68.1%,2018,"Universal PicturesSee full company information

","$148,024,610","June 6, 2018
            (EMEA, APAC)",PG-13,2 hr 8 min,"Action
    
        Adventure
    
        Sci-Fi","See more details at IMDbPro

","$170,000,000"
3,4,Incredibles 2,"$1,242,805,359","$608,581,744",49%,"$634,223,615",51%,2018,Walt Disney Studios,"$182,687,905","June 14, 2018
            (16 markets)",PG,1 hr 58 min,"Action
    
        Adventure
    
        Animation
    
        Comedy
    
        Family
    
        Sci-Fi","See more details at IMDbPro

",
4,5,Aquaman,"$1,148,461,807","$335,061,807",29.2%,"$813,400,000",70.8%,2018,"Warner Bros.See full company information

","$67,873,522","December 7, 2018
            (China)",PG-13,2 hr 23 min,"Action
    
        Adventure
    
        Fantasy
    
        Sci-Fi","See more details at IMDbPro

",
5,6,Bohemian Rhapsody,"$903,655,259","$216,428,042",24%,"$687,227,217",76%,2018,"Twentieth Century FoxSee full company information

","$51,061,119","October 26, 2018
            (United Kingdom)",PG-13,2 hr 14 min,"Biography
    
        Drama
    
        Music","See more details at IMDbPro

","$52,000,000"
6,7,Venom,"$856,085,151","$213,515,506",24.9%,"$642,569,645",75.1%,2018,"Sony Pictures Entertainment (SPE)See full company information

","$80,255,756","October 3, 2018
            (7 markets)",PG-13,1 hr 52 min,"Action
    
        Adventure
    
        Sci-Fi
    
        Thriller","See more details at IMDbPro

","$100,000,000"
7,8,Mission: Impossible - Fallout,"$791,115,104","$220,159,104",27.8%,"$570,956,000",72.2%,2018,"Paramount PicturesSee full company information

","$61,236,534","July 25, 2018
            (APAC)",PG-13,2 hr 27 min,"Action
    
        Adventure
    
        Thriller","See more details at IMDbPro

","$178,000,000"
8,9,Deadpool 2,"$734,546,611","$318,491,426",43.4%,"$416,055,185",56.6%,2018,"Twentieth Century FoxSee full company information

","$125,507,153","May 16, 2018
            (18 markets)",R,1 hr 59 min,"Action
    
        Adventure
    
        Comedy
    
        Sci-Fi","See more details at IMDbPro

","$110,000,000"
9,10,Fantastic Beasts: The Crimes of Grindelwald,"$654,855,901","$159,555,901",24.4%,"$495,300,000",75.6%,2018,"Warner Bros.See full company information

","$62,163,104","October 12, 2018
            (South Africa)",PG-13,2 hr 14 min,"Adventure
    
        Family
    
        Fantasy","See more details at IMDbPro

","$200,000,000"
10,11,Ant-Man and the Wasp,"$622,674,139","$216,648,740",34.8%,"$406,025,399",65.2%,2018,Walt Disney Studios,"$75,812,205","July 4, 2018
            (EMEA, APAC)",PG-13,1 hr 58 min,"Action
    
        Adventure
    
        Comedy
    
        Sci-Fi","See more details at IMDbPro

",
11,12,Ready Player One,"$582,890,172","$137,690,172",23.6%,"$445,200,000",76.4%,2018,"Warner Bros.See full company information

","$41,764,050","March 28, 2018
            (EMEA, APAC)",PG-13,2 hr 20 min,"Action
    
        Adventure
    
        Sci-Fi","See more details at IMDbPro

","$175,000,000"
12,13,Operation Red Sea,"$579,330,426","$1,543,547",0.3%,"$577,786,879",99.7%,2018,"Well Go USA EntertainmentSee full company information

","$436,059","February 16, 2018
            (China)",,2 hr 22 min,"Action
    
        Drama
    
        Thriller
    
        War","See more details at IMDbPro

",
13,14,Detective Chinatown 2,"$544,185,156","$1,983,984",0.4%,"$542,201,172",99.6%,2018,"Warner Bros.See full company information

","$704,047","February 15, 2018
            (APAC)",R,2 hr 1 min,"Action
    
        Comedy
    
        Mystery","See more details at IMDbPro

",
14,15,Ralph Breaks the Internet,"$529,323,962","$201,091,711",38%,"$328,232,251",62%,2018,Walt Disney Studios,"$56,237,634","November 21, 2018
            (Domestic, APAC)",PG,1 hr 52 min,"Adventure
    
        Animation
    
        Comedy
    
        Family
    
        Fantasy","See more details at IMDbPro

","$175,000,000"
15,16,Hotel Transylvania 3: Summer Vacation,"$528,583,774","$167,510,016",31.7%,"$361,073,758",68.3%,2018,"Sony Pictures Entertainment (SPE)See full company information

","$44,076,225","June 28, 2018
            (Australia)",PG,1 hr 37 min,"Adventure
    
        Animation
    
        Comedy
    
        Family
    
        Fantasy","See more details at IMDbPro

","$80,000,000"
16,17,The Grinch,"$511,595,957","$270,620,950",52.9%,"$240,975,007",47.1%,2018,"Universal PicturesSee full company information

","$67,572,855","November 7, 2018
            (LATAM, EMEA)",PG,1 hr 25 min,"Animation
    
        Comedy
    
        Family
    
        Fantasy","See more details at IMDbPro

","$75,000,000"
17,18,Bumblebee,"$467,989,645","$127,195,589",27.2%,"$340,794,056",72.8%,2018,"Paramount PicturesSee full company information

","$21,654,047","December 19, 2018
            (Indonesia)",PG-13,1 hr 54 min,"Action
    
        Adventure
    
        Sci-Fi","See more details at IMDbPro

","$135,000,000"
18,19,A Star Is Born,"$436,188,866","$215,288,866",49.4%,"$220,900,000",50.6%,2018,"Warner Bros.See full company information

","$42,908,051","October 3, 2018
            (EMEA)",R,2 hr 16 min,"Drama
    
        Music
    
        Romance","See more details at IMDbPro

","$36,000,000"
19,20,Rampage,"$428,028,233","$101,028,233",23.6%,"$327,000,000",76.4%,2018,"Warner Bros.See full company information

","$35,753,093","April 11, 2018
            (Indonesia)",PG-13,1 hr 47 min,"Action
    
        Adventure
    
        Sci-Fi","See more details at IMDbPro

","$120,000,000"
20,21,Mamma Mia! Here We Go Again,"$395,044,706","$120,634,935",30.5%,"$274,409,771",69.5%,2018,"Universal PicturesSee full company information

","$34,952,180","July 18, 2018
            (EMEA, APAC)",PG-13,1 hr 54 min,"Comedy
    
        Musical
    
        Romance","See more details at IMDbPro

","$75,000,000"
21,22,Solo: A Star Wars Story,"$392,924,807","$213,767,512",54.4%,"$179,157,295",45.6%,2018,Walt Disney Studios,"$84,420,489","May 23, 2018
            (EMEA, APAC)",PG-13,2 hr 15 min,"Action
    
        Adventure
    
        Sci-Fi","See more details at IMDbPro

","$275,000,000"
22,23,Spider-Man: Into the Spider-Verse,"$375,540,831","$190,241,310",50.7%,"$185,299,521",49.3%,2018,"Sony Pictures Entertainment (SPE)See full company information

","$35,363,376","December 12, 2018
            (APAC, EMEA)",PG,1 hr 57 min,"Action
    
        Adventure
    
        Animation
    
        Family
    
        Sci-Fi","See more details at IMDbPro

","$90,000,000"
23,24,Fifty Shades Freed,"$371,985,018","$100,407,760",27%,"$271,577,258",73%,2018,"Universal PicturesSee full company information

","$38,560,195","February 7, 2018
            (EMEA, APAC)",R,1 hr 45 min,"Drama
    
        Romance
    
        Thriller","See more details at IMDbPro

","$55,000,000"
