,Year_Rank,Title,Worldwide_Gross,Domestic,Percent_Domestic,Foreign,Percent_Foreign,Year,Domestic Distributor,Domestic Opening,Budget,Earliest Release Date,MPAA,Running Time,Genres,"
                        IMDbPro
                    "
0,1,Avengers: Endgame,"$2,797,800,564","$858,373,000",30.7%,"$1,939,427,564",69.3%,2019,Walt Disney Studios,"$357,115,007","$356,000,000","April 24, 2019
            (21 markets)",PG-13,3 hr 1 min,"Action
    
        Adventure
    
        Drama
    
        Sci-Fi","See more details at IMDbPro

"
1,2,The Lion King,"$1,656,943,394","$543,638,043",32.8%,"$1,113,305,351",67.2%,2019,Walt Disney Studios,"$191,770,759","$260,000,000","July 11, 2019
            (Australia)",PG,1 hr 58 min,"Adventure
    
        Animation
    
        Drama
    
        Family
    
        Musical","See more details at IMDbPro

"
2,3,Frozen II,"$1,450,026,933","$477,373,578",32.9%,"$972,653,355",67.1%,2019,Walt Disney Studios,"$130,263,358","$150,000,000","November 20, 2019
            (EMEA, APAC)",PG,1 hr 43 min,"Adventure
    
        Animation
    
        Comedy
    
        Family
    
        Fantasy
    
        Musical","See more details at IMDbPro

"
3,4,Spider-Man: Far from Home,"$1,131,927,996","$390,532,085",34.5%,"$741,395,911",65.5%,2019,"Sony Pictures Entertainment (SPE)See full company information

","$92,579,212","$160,000,000","June 28, 2019
            (APAC, China)",PG-13,2 hr 9 min,"Action
    
        Adventure
    
        Sci-Fi","See more details at IMDbPro

"
4,5,Captain Marvel,"$1,128,274,794","$426,829,839",37.8%,"$701,444,955",62.2%,2019,Walt Disney Studios,"$153,433,423","$160,000,000","March 6, 2019
            (APAC, EMEA)",PG-13,2 hr 3 min,"Action
    
        Adventure
    
        Sci-Fi","See more details at IMDbPro

"
5,6,Joker,"$1,074,251,311","$335,451,311",31.2%,"$738,800,000",68.8%,2019,"Warner Bros.See full company information

","$96,202,337","$55,000,000","October 2, 2019
            (APAC, LATAM)",R,2 hr 2 min,"Crime
    
        Drama
    
        Thriller","See more details at IMDbPro

"
6,7,Star Wars: Episode IX - The Rise of Skywalker,"$1,074,144,248","$515,202,542",48%,"$558,941,706",52%,2019,Walt Disney Studios,"$177,383,864","$275,000,000","December 18, 2019
            (13 markets)",PG-13,2 hr 22 min,"Action
    
        Adventure
    
        Fantasy
    
        Sci-Fi","See more details at IMDbPro

"
7,8,Toy Story 4,"$1,073,394,593","$434,038,008",40.4%,"$639,356,585",59.6%,2019,Walt Disney Studios,"$120,908,065","$200,000,000","June 20, 2019
            (24 markets)",G,1 hr 40 min,"Adventure
    
        Animation
    
        Comedy
    
        Family
    
        Fantasy","See more details at IMDbPro

"
8,9,Aladdin,"$1,050,693,953","$355,559,216",33.8%,"$695,134,737",66.2%,2019,Walt Disney Studios,"$91,500,929","$183,000,000","May 22, 2019
            (EMEA, APAC)",PG,2 hr 8 min,"Adventure
    
        Family
    
        Fantasy
    
        Musical
    
        Romance","See more details at IMDbPro

"
9,10,Jumanji: The Next Level,"$796,575,993","$316,831,246",39.8%,"$479,744,747",60.2%,2019,"Sony Pictures Entertainment (SPE)See full company information

","$59,251,543","$125,000,000","December 4, 2019
            (EMEA, APAC)",PG-13,2 hr 3 min,"Action
    
        Adventure
    
        Comedy
    
        Fantasy","See more details at IMDbPro

"
10,11,Fast & Furious Presents: Hobbs & Shaw,"$759,056,935","$173,956,935",22.9%,"$585,100,000",77.1%,2019,"Universal PicturesSee full company information

","$60,038,950","$200,000,000","July 1, 2019
            (Portugal)",,2 hr 17 min,"Action
    
        Adventure
    
        Thriller","See more details at IMDbPro

"
11,12,Ne Zha,"$726,063,471","$3,695,533",0.5%,"$722,367,938",99.5%,2019,"Well Go USA EntertainmentSee full company information

","$1,015,755",,"July 26, 2019
            (China)",,1 hr 50 min,"Action
    
        Adventure
    
        Animation
    
        Family
    
        Fantasy
    
        Thriller","See more details at IMDbPro

"
12,13,The Wandering Earth,"$699,856,699","$5,971,413",0.9%,"$693,885,286",99.1%,2019,"CMC PicturesSee full company information

","$1,685,287",,"January 31, 2019
            (Australia)",,2 hr 5 min,"Action
    
        Sci-Fi","See more details at IMDbPro

"
13,14,How to Train Your Dragon: The Hidden World,"$521,799,505","$160,799,505",30.8%,"$361,000,000",69.2%,2019,"Universal PicturesSee full company information

","$55,022,245","$129,000,000","January 3, 2019
            (APAC)",PG,1 hr 44 min,"Action
    
        Adventure
    
        Animation
    
        Family
    
        Fantasy","See more details at IMDbPro

"
14,15,Maleficent: Mistress of Evil,"$491,730,089","$113,929,605",23.2%,"$377,800,484",76.8%,2019,Walt Disney Studios,"$36,948,713","$185,000,000","October 16, 2019
            (EMEA, APAC)",PG,1 hr 59 min,"Adventure
    
        Family
    
        Fantasy","See more details at IMDbPro

"
